Код ресурса,Наименование,Ед.изм.
25.73.60.120.01.4.01.10-0090-000,"Шнек однозаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 520 мм",шт
25.73.60.120.01.4.01.10-0091-000,"Шнек однозаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 650 мм",шт
25.73.60.120.01.4.01.10-0006-000,"Шнек однозаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 780 мм",шт
25.73.60.120.01.4.01.10-0007-000,"Шнек однозаходный для бурения скальных пород с калибровочным кольцом, длина 1700 мм, диаметр 900 мм",шт
25.73.60.120.01.4.01.10-0107-000,"Шнек однозаходный для бурения, длина 1700 мм, диаметр 1060 мм",шт
25.73.60.120.01.4.01.10-0108-000,"Шнек однозаходный для бурения, длина 1700 мм, диаметр 1350 мм",шт
25.73.60.120.01.4.01.10-0084-000,"Шнек однозаходный для бурения, длина 1700 мм, диаметр 520 мм",шт
25.73.60.120.01.4.01.10-0085-000,"Шнек однозаходный для бурения, длина 1700 мм, диаметр 650 мм",шт
25.73.60.120.01.4.01.10-0001-000,"Шнек однозаходный для бурения, длина 1700 мм, диаметр 780 мм",шт
25.73.60.120.01.4.01.10-0002-000,"Шнек однозаходный для бурения, длина 1700 мм, диаметр 900 мм",шт
25.73.60.120.01.4.01.10-0092-000,"Шнек однозаходный с прогрессивной режущей кромкой для бурения, длина 1700 мм, диаметр 520 мм",шт
25.73.60.120.01.4.01.10-0093-000,"Шнек однозаходный с прогрессивной режущей кромкой для бурения, длина 1700 мм, диаметр 650 мм",шт
25.73.60.120.01.4.01.10-0094-000,"Шнек однозаходный с прогрессивной режущей кромкой для бурения, длина 1700 мм, диаметр 780 мм",шт
25.73.60.120.01.4.01.10-0095-000,"Шнек однозаходный с прогрессивной режущей кромкой для бурения, длина 1700 мм, диаметр 900 мм",шт
25.73.60.120.01.4.01.10-0055-000,"Шнек телескопический для бурения скважин в грунтах группы 1-4, длина 8680-15000 мм, диаметр 250 мм",шт
25.73.60.120.01.4.01.10-0056-000,"Шнек телескопический для бурения скважин в грунтах группы 1-4, длина 8680-15000 мм, диаметр 300 мм",шт
25.73.60.120.01.4.01.10-0057-000,"Шнек телескопический для бурения скважин в грунтах группы 1-4, длина 8680-15000 мм, диаметр 360 мм",шт
25.73.60.120.01.4.01.10-0058-000,"Шнек телескопический для бурения скважин в грунтах группы 1-4, длина 8680-15000 мм, диаметр 400 мм",шт
25.73.60.120.01.4.01.10-0059-000,"Шнек телескопический для бурения скважин в грунтах группы 1-4, длина 8680-15000 мм, диаметр 450 мм",шт
25.73.60.120.01.4.01.10-0060-000,"Шнек телескопический для бурения скважин в грунтах группы 1-4, длина 8680-15000 мм, диаметр 500 мм",шт
27.32.13.139.21.2.03.07-0001-000,"Шнур ШВВП 2х0,35-220",1000 м
27.32.13.139.21.2.03.08-0011-000,"Шнур ШВВП 2х0,5-380",1000 м
27.32.13.139.21.2.03.08-0012-000,"Шнур ШВВП 2х0,75-380",1000 м
27.32.13.139.21.2.03.07-0002-000,"Шнур ШВВП 3х0,35-220",1000 м
27.32.13.139.21.2.03.08-0013-000,"Шнур ШВВП 3х0,5-380",1000 м
27.32.13.139.21.2.03.08-0014-000,"Шнур ШВВП 3х0,75-380",1000 м
27.32.13.139.21.2.03.07-0003-000,"Шнур ШВВП 4х0,35-220",1000 м
27.32.13.139.21.2.03.08-0021-000,"Шнур ШРО 2х0,5-380",1000 м
27.32.13.139.21.2.03.08-0022-000,"Шнур ШРО 2х0,75-380",1000 м
27.32.13.139.21.2.03.08-0024-000,"Шнур ШРО 2х1,5-380",1000 м
27.32.13.139.21.2.03.08-0023-000,Шнур ШРО 2х1-380,1000 м
27.32.13.139.59.1.21.02-0186-000,"Шнур ШРО 3x0,5-380",1000 м
27.32.13.139.59.1.21.02-0187-000,"Шнур ШРО 3x0,75-380",1000 м
27.32.13.139.59.1.21.02-0188-000,"Шнур ШРО 3x1,5-380",1000 м
27.32.13.139.59.1.21.02-0189-000,Шнур ШРО 3x1-380,1000 м
23.99.11.130.01.1.01.09-0021-000,"Шнур асбестовый общего назначения ШАОН, диаметр 0,7 мм",т
23.99.11.130.01.1.01.09-0022-000,"Шнур асбестовый общего назначения ШАОН, диаметр 1,0-1,5 мм",т
23.99.11.130.01.1.01.09-0028-000,"Шнур асбестовый общего назначения ШАОН, диаметр 12 мм",т
23.99.11.130.01.1.01.09-0029-000,"Шнур асбестовый общего назначения ШАОН, диаметр 15 мм",т
23.99.11.130.01.1.01.09-0030-000,"Шнур асбестовый общего назначения ШАОН, диаметр 18-25 мм",т
23.99.11.130.01.1.01.09-0023-000,"Шнур асбестовый общего назначения ШАОН, диаметр 2,0-2,5 мм",т
23.99.11.130.01.1.01.09-0024-000,"Шнур асбестовый общего назначения ШАОН, диаметр 3-6 мм",т
23.99.11.130.01.1.01.09-0026-000,"Шнур асбестовый общего назначения ШАОН, диаметр 8-10 мм",т
